customer_state,product_category_name,Count_industry,Average Price per state
TO,pet_shop,4,83.075
CE,pet_shop,16,85.68875
SE,pet_shop,3,57.51333333333333
DF,pet_shop,41,125.4319512195122
RO,pet_shop,8,121.94125
PB,pet_shop,8,98.31
PE,pet_shop,23,124.55565217391305
AM,pet_shop,4,93.6975
MS,pet_shop,25,102.7968
PI,pet_shop,8,176.4725
AP,pet_shop,2,29.9
AL,pet_shop,3,731.9666666666667
SP,moveis_escritorio,683,161.98901903366033
BA,moveis_escritorio,95,153.99789473473683
PB,moveis_escritorio,11,121.0290909090909
RS,moveis_escritorio,69,155.3995652173913
PE,moveis_escritorio,20,175.9785
ES,moveis_escritorio,31,170.50774193548386
MG,moveis_escritorio,165,167.8197575757576
GO,moveis_escritorio,22,143.72409090909093
PR,moveis_escritorio,94,170.5713829787234
RJ,moveis_escritorio,361,148.0564542930748
DF,moveis_escritorio,20,157.1365
MT,moveis_escritorio,19,177.41421052631577
SC,moveis_escritorio,64,179.98546875
PA,moveis_escritorio,27,152.41629629629628
MA,moveis_escritorio,22,160.84863636363636
TO,moveis_escritorio,6,204.42333333333332
SE,moveis_escritorio,3,168.97666666666666
CE,moveis_escritorio,28,168.4557142892857
AL,moveis_escritorio,7,144.26285714285714
PI,moveis_escritorio,9,153.6222222222222
RR,moveis_escritorio,1,289.9
RO,moveis_escritorio,6,181.31000000000003
AM,moveis_escritorio,2,92.4
RN,moveis_escritorio,4,268.6825
MS,moveis_escritorio,4,184.9425
SP,consoles_games,508,133.04513779527556
RS,consoles_games,61,142.63180327868852
GO,consoles_games,22,108.49272727272728
PA,consoles_games,16,130.220625
RJ,consoles_games,152,121.45092105263159
PB,consoles_games,8,129.785
MG,consoles_games,139,148.49179856115109
CE,consoles_games,16,229.00312499999998
DF,consoles_games,28,75.47749999999999
BA,consoles_games,37,99.65513513513514
PR,consoles_games,51,138.49823529411765
ES,consoles_games,26,151.18923076923076
SC,consoles_games,37,129.83648648648648
MA,consoles_games,7,288.7742857142857
MT,consoles_games,9,147.8322222222222
AM,consoles_games,2,211.64999999999998
MS,consoles_games,6,78.01166666666667
PI,consoles_games,9,185.61
PE,consoles_games,20,281.1115
AP,consoles_games,1,85.95
